ブランド名,カテゴリ,国,Instagram,Webサイト,ターゲット,参考にすべき点
Alo Yoga,フィットネス,USA,https://www.instagram.com/aloyoga/,https://www.aloyoga.com,女性,夕方・自然光の使い方・セレブ起用。FITMIの世界観に最も近い
lululemon,フィットネス,Canada,https://www.instagram.com/lululemon/,https://www.lululemon.com,男女,ライフスタイル感・高単価ブランディングの手本
Gymshark,フィットネス,UK,https://www.instagram.com/gymshark/,https://www.gymshark.com,男女,リールの量と質・ワークアウト動画の構成
AYBL,フィットネス,UK,https://www.instagram.com/aybl/,https://www.aybl.com,女性,女性専門・クリーントーン・スタジオ×ジム撮影の混在
Vuori,フィットネス,USA,https://www.instagram.com/vuoriclothing/,https://www.vuoriclothing.com,男女,自然光・アウトドア×フィットネスの融合
Girlfriend Collective,フィットネス,USA,https://www.instagram.com/girlfriendcollective/,https://www.girlfriendcollective.com,女性,カラー展開の見せ方・UGC活用
Halara,フィットネス,USA,https://www.instagram.com/halaraofficial/,https://www.halara.com,女性,TikTok発で急成長・若年女性向け・UGC活用
Fabletics,フィットネス,USA,https://www.instagram.com/fabletics/,https://www.fabletics.com,女性,サブスク×SNSの組み合わせ・セレブ起用
Outdoor Voices,フィットネス,USA,https://www.instagram.com/outdoorvoices/,https://www.outdoorvoices.com,女性,カジュアル×フィットネス・明るい世界観
NOBULL,フィットネス,USA,https://www.instagram.com/nobullproject/,https://www.nobull.com,男女,クロスフィット系・かっこいい系
Alphalete,フィットネス,USA,https://www.instagram.com/alphaleteathletics/,https://www.alphalete.com,男女,筋トレ系・暗め照明・男性向け商品の見せ方
Beyond Yoga,フィットネス,USA,https://www.instagram.com/beyondyoga/,https://www.beyondyoga.com,女性,ヨガ×ライフスタイル・ナチュラルトーン
P.E Nation,フィットネス,Australia,https://www.instagram.com/pe_nation/,https://www.pe-nation.com,女性,アスレジャー×ストリートの融合・カラフル
Lorna Jane,フィットネス,Australia,https://www.instagram.com/lornajaneactive/,https://www.lornajane.com,女性,アジア圏人気・ライフスタイル感・日本人体型に近いモデル
Carbon38,フィットネス,USA,https://www.instagram.com/carbon38/,https://www.carbon38.com,女性,高級感・スタイリッシュ・富裕層女性向け
Splits59,フィットネス,USA,https://www.instagram.com/splits59/,https://www.splits59.com,女性,ヨガ・ピラティス系・シンプルなデザイン
Under Armour Japan,フィットネス,Japan,https://www.instagram.com/underarmourjp/,https://www.underarmour.com/ja-jp,男女,日本向けアスリートコンテンツ・日本語コンテンツの参考
SPARWEAR,フィットネス,Japan,https://www.instagram.com/sparwear_official/,https://www.sparwear.jp,男女,国内フィットネス系で映像クオリティが高い
C3fit,フィットネス,Japan,https://www.instagram.com/c3fit_official/,https://www.c3fit.jp,男女,機能性×デザイン・日本人体型に合わせた見せ方
That's life,ストリート,Japan,https://www.instagram.com/thatslife.jp/,https://thatslife.jp,男女,【担当ブランド】ストリート系アパレル
belvet,ストリート,Japan,https://www.instagram.com/belvet.jp/,https://belvet.jp,男女,【担当ブランド】ストリート系アパレル
